id,page,tier,negative,block,refs,title,given,when,then,section,source_line,form
QA-S0-01,view-orders,WF,False,S0,[L-F7];[L-S0-1],[L-S0-1] [L-F7],"Given the page is freshly loaded,",,"Then document.querySelector('section.state.on').id is s0, the chrome tab 0 · Waiting (Before Scan) has class on, the #s0 h2 text is exactly WMS - View Orders, the first #s0 .sub is exactly Search Orders, and #s0 .search-input input has value === '' with placeholder exactly Tracking No / Inbound Order No / Product Order No / Last-mile barcode — scan any number.",8.1 State 0 and the Expected Inbound badge,1128,prose
QA-S0-02,view-orders,ADMIN,False,S0,[G-1];[L-S0-1],[L-S0-1] [G-1],"Given the admin's View Orders page is loaded,",,"Then document.activeElement is the unified search input, with no click required.",8.1 State 0 and the Expected Inbound badge,1131,prose
QA-S0-03,view-orders,WF,False,S0,[BR-46];[L-S0-1],[L-S0-1] [BR-46] — negative,"Given #s0 is active,",,Then #s0 .seg returns null (no segmented type-selector) and no element inside #s0 has text containing Matched field.,8.1 State 0 and the Expected Inbound badge,1134,prose
QA-S0-04,view-orders,WF,False,S0,[L-F8],[L-F8],"Given #s0 is active,",,"Then a dashed panel is present whose text contains exactly the strings Waiting for scan and Scan a tracking/product barcode or type a number to switch to that order's screen instantly, and #s0 .ordercard returns null (the placeholder and an order card are never shown together).",8.1 State 0 and the Expected Inbound badge,1137,prose
QA-S0-05,view-orders,WF,False,S0,[L-F4],[L-F4],"Given #s0 is active,",,Then a button.btn-blue with text exactly 🔍 Search sits inside #s0 .searchrow.,8.1 State 0 and the Expected Inbound badge,1140,prose
QA-S0-06,view-orders,WF,False,S0,[L-S0-2],[L-S0-2],"Given #s0 is active,",,"Then #inexpToggle is visible with text exactly ▸ Expected Inbound 4 — 2 with tracking · 1 Partial Inbound, and #inexpTable has inline display:none.",8.1 State 0 and the Expected Inbound badge,1143,prose
QA-S0-07,view-orders,WF,False,S0,[L-S0-2],[L-S0-2],,"When I click #inexpToggle, When I click #inexpToggle again,","Then #inexpTable becomes visible, #inexpToggle text begins with ▾, and #inexpTable tbody tr has length 4 with first-cell values in this order: 202608020001, 202607120001, 202608020002, 202608010004 — the two tracking-bearing rows first. Then #inexpTable returns to display:none and the text begins with ▸.",8.1 State 0 and the Expected Inbound badge,1146,prose
QA-S0-08,view-orders,WF,False,S0,[BR-4];[G-5];[L-S0-2],[L-S0-2] [G-5] [BR-4],"Given #inexpTable is expanded,",,"Then its header cells are exactly Inbound No., Sourcing Route, Supplier, Items, Tracking No, Status; row 2 contains .tag-wholesale with text WHOLESALE, supplier 비엠유통, and a .tag-part badge reading exactly PARTIAL 620/800; rows 3 and 4 render — in the Tracking No cell.",8.1 State 0 and the Expected Inbound badge,1149,prose
QA-S0-09,view-orders,WF,False,S0,[G-5],[G-5] — negative,"Given #inexpTable is expanded,",,"Then for every .tag-smartbuy, .tag-jit, .tag-wholesale, .tag-partnership element on the page, getComputedStyle(el).backgroundColor === 'rgba(0, 0, 0, 0)' — routes are black bold text, never coloured pills.",8.1 State 0 and the Expected Inbound badge,1152,prose
QA-S0-10,view-orders,WF,False,S0,[L-S0-2],[L-S0-2] (see demo limitation L-9),,"When I click the .row-part row inside #inexpTable,",Then document.querySelector('section.state.on').id becomes s6 and #s0 no longer has class on. Do not assert the chrome tab here — the mock leaves 0 · Waiting (Before Scan) highlighted.,8.1 State 0 and the Expected Inbound badge,1155,prose
QA-S0-11,view-orders,WF,False,S0,[G-12];[L-S0-2],[L-S0-2] [G-12],"Given #inexpTable is expanded,",,"Then its footer paragraph text contains exactly Rows with tracking sorted to top, Click a row = open its reconciliation screen (State 6) without scanning and Full list: Inbound Request → Request List.",8.1 State 0 and the Expected Inbound badge,1158,prose
QA-S0-12,view-orders,ADMIN,False,S0,[E-42],[E-42] — negative,"Given an account with zero open inbound requests,",,Then the badge still renders (▸ Expected Inbound 0) and expanding it shows No open inbound requests; it is never hidden.,8.1 State 0 and the Expected Inbound badge,1161,prose
QA-S0-13,view-orders,ADMIN,False,S0,[DC-5];[L-S0-2],[L-S0-2] [DC-5],,"When I click an Expected Inbound row,","Then a scan.entry_state6 event persists with entry_method=badge_row_click, the inbound no., tracking_no=null, the actor and a server timestamp.",8.1 State 0 and the Expected Inbound badge,1164,prose
QA-S0-14,view-orders,ADMIN,False,S0,[DC-5];[E-47],[E-47],"Given an inbound request with no registered tracking number,","When I open it from the badge,","Then State 6 renders and is fully operable, and [DC-5].tracking_no is null.",8.1 State 0 and the Expected Inbound badge,1167,prose
QA-S0-15,view-orders,ADMIN,False,S0,[E-83],[E-83] — negative,"Given a seeded mismatch between the badge count and the row set,",,Then the page reports a render integrity failure and does not reconcile the two client-side; badge and table are proven to read one query.,8.1 State 0 and the Expected Inbound badge,1170,prose
QA-S0-16,view-orders,ADMIN,False,S0,[E-84],[E-84] — negative,"Given a badge row for a request that reached INBOUNDED after render,","When the row is clicked,",Then the read-only 6b view opens with the info toast Already inbounded — Inbound No. {n} and no mutation control is offered.,8.1 State 0 and the Expected Inbound badge,1173,prose
QA-SC-01,view-orders,ADMIN,False,SC,[BR-1];[DC-1];[L-S1-1],[L-S1-1] [BR-1],"Given a number registered as an inbound-request tracking number,","When it is submitted,",Then State 6 opens — never States 1–5 — and [DC-1].resolution = inbound_request.,"8.2 Unified search, scan protocol and focus",1178,prose
